,마왕성 부지,Castle,None,smile,FALSE,None,None
타르트,저기요 의뢰주님~,Castle,None,smile,FALSE,None,None
타르트,의 뢰 주 님 ~,Castle,None,smile,FALSE,None,None
타르트,이상하다.. 안계시나?,Castle,None,embrass,TRUE,None,None
,...,Castle,None,normal,FALSE,None,None
타르트,아 무셔,Castle,None,cutesad,TRUE,Sad,None
타르트,여기 분위기 왜이래? 너무 무서운데?,Castle,None,cutesad,FALSE,None,None
타르트,마왕 죽은지 꽤 됐는데도 여긴 나아지지가 않네,Castle,None,cutesad,FALSE,None,None
타르트,흐.. 의뢰주님은 언제 오시려나..?,Castle,None,hesitate,FALSE,None,None
???,...,Castle,None,normal,FALSE,None,None
타르트,?! 인기척?,Castle,None,embrass,TRUE,Idea,None
타르트,아 의뢰주님?!,Castle,None,smile,FALSE,None,None
???,먀?,Castle,None,curious,FALSE,None,None
타르트,가 아니라 꼬마잖아!,Castle,None,surprise,FALSE,None,None
???,의뢰주가 뭐야?,Castle,None,curious,FALSE,None,None
타르트,몰라도 되거든? 이 꼬맹아!,Castle,None,angry,FALSE,None,None
???,뭐? 나 꼬맹이 아니거든? 나이도 어린게!,Castle,None,angry,FALSE,None,None
타르트,나이? 에게~~ 쪼맨한게 혹시 10살은 먹었나?,Castle,None,smile,FALSE,None,None
???,10살 이러네! 이몸은 783살이시다!,Castle,None,angry,FALSE,Shock,None
타르트,네네~ 783살 그래그래~ 그럼 난 1000살이다~,Castle,None,smile,FALSE,None,None
???,으으.. 진짜라고!!,Castle,None,cutesad,FALSE,None,None
타르트,아 그렇구나~,Castle,None,normal,FALSE,None,None
타르트,아! 그나저나 너 혹시 이 주변에 사니?,Castle,None,normal,FALSE,None,None
???,어.. 살기야 이 주변에 살긴 하지?,Castle,None,hesitate,FALSE,None,None
타르트,그럼 혹시 이 퀘스트 의뢰한 사람 누군지 알아??,Castle,None,smile,FALSE,None,None
???,아~ 이거~,Castle,None,smile,FALSE,None,None
???,난뎅?,Castle,None,surprise,FALSE,None,None
타르트,아~ 너가..,Castle,None,smile,FALSE,None,None
타르트,거짓말 그만 쳐!! 안속거든?!,Castle,None,angry,FALSE,None,None
???,아 답답해!! 아니라고!! 나 783살 인것도 맞고 퀘스트 신청한것도 맞거든?,Castle,None,sad,TRUE,None,None
타르트,그래? 그럼 증명해 봐!,Castle,None,smile,FALSE,None,None
???,진짜? 진짜로? 진짜 한다?,Castle,None,angry,FALSE,None,None
타르트,풉 뭐래 증명하지도 못하면서,Castle,None,smile,FALSE,None,None
???,...,Castle,None,angry,FALSE,None,None
???,후..,Castle,None,angry,FALSE,None,None
???,[마왕] 크림슨 드 브륄레의 이름에 따라 이름 모를 기사를 정당한 계약의 이행자로 임명한다.,Castle,None,normal,TRUE,None,None
타르트,오~ 뭐야? 너 혹시 중2병..,Castle,None,smile,FALSE,None,None
타르트,으아아악!! 뭐야 이거?,Castle,None,surprise,FALSE,Shock,None
타르트,왜 퀘스트에서 빛이 나는건데?!,Castle,None,surprise,FALSE,None,None
???,흥! 너 방금 [마왕]과 계약한거야! 어때? 이제 정신이 좀 들어?,Castle,None,smile,FALSE,None,None
타르트,에..어.. 음? 마왕이요? 덱이요? 에이~ 농담도!,Castle,None,hesitate,FALSE,None,None
???,큭큭큭 퀘스트나 보라고!,Castle,None,smile,FALSE,Happy,None
타르트,뭐야!!,Castle,None,embrass,TRUE,None,None
타르트,브로콜리? 계약을 이행하지 못하면 평생 브로콜리만 먹어야 한다고??,Castle,None,cutesad,FALSE,None,None
타르트,안돼 안돼 안돼..!! 브로콜리만 계속 먹으면 나 진짜 죽을수도 있다고!!,Castle,None,cutesad,FALSE,None,None
???,말했잖아! 마왕과의 계약이라고! (조금 개인적인 감정을 넣긴 했지만),Castle,None,smile,FALSE,None,None
타르트,죄송해요! 죄송합니다!,Castle,None,sad,FALSE,Sad,None
???,크흠! 소개하지! 이몸은 마왕 크림슨 드 브뤨..,Castle,None,smile,FALSE,None,None
크림,아 또 꼬였다.. 어쨌든 줄여서 크림이야!,Castle,None,hesitate,FALSE,None,None
크림,크흠..이젠 너의 상사니까 잘 기억해 두도록 해,Castle,None,smile,FALSE,None,None
타르트,(이런놈이 진짜 마왕이라고? 요 꼬맹이가?),Castle,None,cutesad,TRUE,Sweat,None
타르트,크윽.. 괜히 수상한 퀘스트를 수락해서 이게 무슨꼴이야..,Castle,None,sad,FALSE,None,None
크림,그러게 마왕 영지에서 모르는 마족한테 까불래니? 꼴이 좋아 아주!,Castle,None,smile,FALSE,None,None
타르트,큭.. 그럼 난 이제 어떻게 되는거야? 역시 평생 노예로 부려먹히다가 죽는..,Castle,None,sad,FALSE,None,None
크림,뭐?! 아니야!! 그건 아니거든? 무슨 내가 악덕 고용주인줄 알아?,Castle,None,surprise,FALSE,None,None
